NodeID,PositionX,PositionY,PositionZ,Size,Group
影视杂谈,0.05687663,4.27195,4.40727,14,4
影视,0.1477439,4.509906,4.169803,101,4
人人都是导演·AI版,-0.2715696,5.037601,4.504293,2,4
影视,0.1477439,4.509906,4.169803,101,4
动画电影,0.4015526,4.387703,3.881406,4,4
花絮,0.0618133,4.451562,3.532359,3,4
动画,3.248647,2.289715,1.774699,104,2
治愈,3.265408,2.114419,1.35247,7,2
童年回忆,2.877271,2.418519,1.147869,3,2
治愈,3.265408,2.114419,1.35247,7,2
MAD,3.515499,1.966278,1.757321,13,2
奥特曼,2.833861,1.944372,1.47362,10,2
模玩·周边,2.727579,2.577524,1.364161,13,2
动画,3.248647,2.289715,1.774699,104,2
格蕾修,2.536442,2.435023,2.368074,2,2
米哈游,2.571969,2.238281,2.254873,6,2
危险派对,2.444663,2.0809,2.324252,2,2
动画,3.248647,2.289715,1.774699,104,2
翻跳,0.03233448,3.881512,2.761134,3,13
国风舞蹈,0.3747914,4.389902,2.601448,18,13
解雨臣,6.423937,3.622049,2.664429,2,3
CP安利,6.729462,3.806612,2.60321,12,3
CP,6.878363,3.752005,2.571187,7,3
娱乐,7.313167,3.99114,2.269135,137,3
表演,6.771276,4.655548,2.046356,2,3
剪辑,7.151908,4.205626,2.314381,13,3
话剧,6.638764,4.543282,2.054493,2,3
剪辑,7.151908,4.205626,2.314381,13,3
那英,7.015131,4.435081,1.890856,4,3
谭维维,6.859006,4.637452,1.635746,2,3
听见下雨的声音,7.031432,4.435466,1.481213,2,3
