NodeID,PositionX,PositionY,PositionZ,Size,Group
超跑,3.300539,4.539012,4.61429,4,7
迈凯伦,3.708305,4.778957,4.589288,2,7
汽车,3.315197,4.427183,5.105568,104,7
运动,2.220417,2.994999,2.969162,104,15
篮球技巧,1.971433,2.481612,3.018163,3,15
体育,1.985606,2.979714,3.231186,19,15
奥运会,1.702663,3.101603,3.128832,3,15
竞技体育,1.632768,3.007968,2.82711,11,15
排球少年,0.475039,7.474599,6.682229,4,6
咒术回战,3.991073,2.915161,1.565579,3,2
动画,3.248647,2.289715,1.774699,104,2
声控,3.526989,3.08045,6.207393,5,12
夜宵,3.686064,2.638076,6.353696,3,12
创意美食,3.398282,3.253149,6.314233,2,12
美食记录,3.463825,2.837101,5.976493,24,12
美食教程,2.951614,2.914511,6.256162,12,12
剑网3,2.602474,3.090917,6.351787,2,12
美食,3.350418,2.602116,6.135998,112,12
广州美食,3.705161,1.99642,5.449577,2,12
美食,3.350418,2.602116,6.135998,112,12
云南美食,3.23077,2.074521,6.307201,2,12
Vlog,3.263912,2.643828,6.059899,30,12
厨艺,3.06487,2.819626,5.85034,9,12
美食教程,2.951614,2.914511,6.256162,12,12
家常菜,2.851398,2.818349,6.176282,10,12
满汉全席,2.544858,3.152323,6.116024,2,12
升进二十四气,2.436855,3.081903,6.292349,2,12
美食,3.350418,2.602116,6.135998,112,12
烹饪,2.819806,2.957496,5.781407,2,12
厨艺,3.06487,2.819626,5.85034,9,12
家常菜,2.851398,2.818349,6.176282,10,12
