NodeID,PositionX,PositionY,PositionZ,Size,Group
运动,2.220417,2.994999,2.969162,104,15
性价比,7.307621,7.410936,6.820626,3,11
唐僧,-0.2888313,4.260422,4.861694,2,4
AI绘画,6.712008,6.699322,7.795567,2,11
软件分享,6.923279,7.287278,7.813452,3,11
YG,7.826064,4.662361,2.588925,2,3
科普,1.426945,2.911905,1.777486,28,10
填词,1.295957,0.2647132,3.538481,2,17
小仙女,0.4817612,5.09983,2.017132,2,5
AI短片,-0.5169356,4.91262,4.379098,3,4
抖音,3.07296,7.442782,7.506483,2,16
学习心得,1.359717,3.89419,2.094461,4,10
汽车知识,3.173304,4.416108,4.832894,6,7
Moonlight,-0.03488474,7.269218,6.855893,3,6
试吃,3.787668,2.301189,6.164277,4,12
旅行vlog,6.981586,7.029088,0.3776133,2,9
舞蹈翻跳,0.4474391,3.817918,2.404756,26,13
记录,0.7049744,5.163591,1.364596,28,5
古生物,1.331186,2.45764,1.628387,3,10
反转,0.9213679,4.285361,1.136504,6,5
美国,2.747586,6.084419,1.209479,28,14
编程,7.303781,6.927353,7.694685,4,11
吉他教学,2.798433,6.98084,7.22437,2,16
舞台,3.53737,7.201787,7.557795,4,16
中字,0.6468751,4.586183,3.42836,2,4
电子竞技,4.594887,6.990243,7.616803,18,8
斗地主,4.503487,6.563033,8.129859,2,8
AI,6.721047,7.077616,7.57115,23,11
tiktok,7.660456,7.410519,7.357724,2,11
金泰亨,6.950769,3.040164,2.625449,2,3
维斯塔潘,4.09786,4.529925,4.523472,2,7
