NodeID,PositionX,PositionY,PositionZ,Size,Group
时装周,1.35109,6.400905,6.527776,6,6
女人,0.2605432,5.295974,1.779384,3,5
Children of the Dark,6.859537,7.372951,0.03079947,2,9
特斯拉,3.200415,4.017089,5.494719,4,7
散兵,5.413278,6.507878,6.807871,2,8
圆谷,2.832061,1.58039,1.285129,2,2
ENHYPEN,0.5502958,3.006217,2.383634,2,13
英格兰,2.368862,3.306998,3.806638,2,15
发明创造,6.460674,6.577744,7.227342,3,11
高能,0.8380611,4.984084,1.646385,46,5
帅哥,7.453862,4.007443,2.907701,12,3
乐队,3.966419,2.238597,1.747063,4,2
狼人杀,3.306827,3.128548,2.342402,2,2
重生,2.397369,1.637226,1.841435,2,2
弔图,1.43337,5.846812,1.576812,2,5
创意美食,3.398282,3.253149,6.314233,2,12
明星,7.132699,3.640197,2.130272,4,3
剪辑教程,1.900927,2.392938,1.396532,2,10
听歌,2.844148,7.214758,7.91945,3,16
兔子,5.118383,1.499067,4.451113,2,1
乐队,3.966419,2.238597,1.747063,4,2
原创编舞,0.675409,4.602771,2.395224,8,13
零食,3.092089,3.090771,6.359302,2,12
野外,7.459424,7.092168,0.3916663,2,9
程序员,7.323519,7.099171,7.536508,3,11
农村,6.584531,7.328795,1.33441,5,9
OC,3.87018,2.000393,1.374813,3,2
自驾游,3.074021,5.18106,5.21228,5,7
刘华强,1.808913,0.02532231,3.67897,3,17
 Don't Cry（人鱼的眼泪）,0.02709583,7.416566,6.317878,2,6
电子音乐,2.66519,7.36142,7.536472,2,16
