NodeID,PositionX,PositionY,PositionZ,Size,Group
艺术,1.932898,3.308583,2.021989,10,10
猫咪,4.92968,2.177568,4.150383,3,1
球鞋测评,2.789444,3.518085,2.477342,2,15
呆猫,3.701549,2.573453,0.9056441,2,2
宝妈,6.42199,7.565085,0.6525524,2,9
街舞,0.6016803,4.402647,2.337082,16,13
法国,4.041915,1.908643,6.111178,2,12
世界计划,5.079597,5.911188,7.054122,2,8
动漫,3.786443,2.072498,1.541051,8,2
奈克瑟斯奥特曼,2.68356,1.517885,1.37763,2,2
水族,5.139771,2.580778,3.036278,2,1
平价,1.249597,6.809516,7.27497,4,6
热血,3.816828,2.244698,2.063199,7,2
家装,7.951737,7.294474,1.02083,2,9
AI翻唱,2.766371,7.189263,8.347598,3,16
victory,0.1856776,4.192984,4.691628,2,4
亲情,0.2566311,4.290982,5.029291,4,4
剪辑教程,1.900927,2.392938,1.396532,2,10
白袜,2.691329,2.998923,2.25705,2,15
金价,2.452584,3.35037,1.354813,2,10
音乐研究所,3.392159,6.804261,7.794153,2,16
家装,7.951737,7.294474,1.02083,2,9
摇,1.276097,4.009021,2.233846,2,13
必剪创作,0.2257796,4.544203,4.28144,19,4
律师,1.670714,3.216464,2.649246,3,10
凤凰传奇,3.445701,6.865721,7.845775,3,16
MOBA,4.64589,6.932659,7.859425,7,8
Stray Kids,7.663307,3.671197,2.885593,2,3
挑战,0.9235882,5.479602,1.709393,9,5
山泥若,1.316269,0.519594,3.502968,2,17
英语,1.489014,3.617753,2.687629,4,10
