NodeID,PositionX,PositionY,PositionZ,Size,Group
运动,2.220417,2.994999,2.969162,104,15
程序员,7.323519,7.099171,7.536508,3,11
真实,7.072905,8.160423,1.181779,6,9
小黑子,2.271359,0.3368726,3.725466,3,17
汽车文化,3.525108,4.300514,4.975168,9,7
社会学,1.59795,2.721812,2.084898,3,10
户晨风,6.495263,3.426718,2.291934,2,3
世界计划,5.079597,5.911188,7.054122,2,8
MEME,3.440218,1.695055,2.345557,4,2
父母,1.115022,4.29613,2.120813,2,5
otto,1.384913,0.3993229,3.497743,4,17
卧槽,1.544394,4.94482,1.62702,2,5
OP,3.593625,1.978016,2.601859,3,2
踊ってみた,0.4986805,3.519305,1.837986,2,13
Vtuber,1.751213,0.4475303,3.244931,2,17
美女CG,4.184538,7.366208,7.513501,2,8
计算机技术,7.109533,7.240095,7.523908,14,11
歌曲,2.906646,7.1815,7.724949,7,16
729声工场,3.845913,2.545384,1.078161,2,2
中字,0.6468751,4.586183,3.42836,2,4
afrobeats,0.9842703,4.572106,1.984265,2,13
重生,2.397369,1.637226,1.841435,2,2
爱情,1.071425,5.926421,1.76212,7,5
女鞋,0.8684156,7.145987,6.321541,2,6
录音棚,3.173007,6.756101,7.587112,4,16
超跑,3.300539,4.539012,4.61429,4,7
俄罗斯,2.676067,5.92199,1.370557,6,14
Undead Funeral March,5.475719,2.605088,4.151257,3,1
人类幼崽,6.460897,7.799111,0.6375216,2,9
Dance,1.026805,4.678195,2.175898,2,13
兔兔,4.972554,1.879789,4.04624,2,1
