NodeID,PositionX,PositionY,PositionZ,Size,Group
手书,3.845414,2.330804,1.619201,6,2
串烧,3.395446,6.777818,8.113908,2,16
盛世美颜挖掘机,7.52036,4.60212,2.67395,5,3
手办,2.679522,2.211188,1.298637,8,2
mugen,4.63791,7.035882,6.686966,2,8
汉堡,6.333861,6.831661,0.9892263,2,9
射击游戏,4.926681,6.643126,7.383178,4,8
音游,4.757624,5.916279,7.273068,10,8
彩妆,0.4888984,7.089158,7.655152,2,6
郝哥,1.697511,0.1462486,3.912721,3,17
菲律宾,0.8934627,2.862397,1.820577,2,10
沉浸式,4.131277,2.979734,6.050995,2,12
国语MV,3.328456,6.660113,7.984301,2,16
欧美现场,3.523311,6.999394,7.563987,2,16
深度学习,7.065565,7.021726,7.717643,3,11
学习心得,1.359717,3.89419,2.094461,4,10
新番,3.345551,2.01089,2.018062,2,2
AI影像,-0.2901754,4.712993,4.370358,13,4
财经,2.152637,3.590419,1.518209,12,10
Hip-Hop,0.5339609,4.63932,1.92581,4,13
青春,0.8337288,4.878638,0.6095128,4,5
英语学习,1.218044,3.513722,2.632362,2,10
初音未来,0.1103028,5.602746,0.8338761,3,5
排球,1.514859,3.275944,2.513653,2,15
人文历史档案馆,2.256227,3.211077,2.452272,3,10
网站,6.585018,7.308167,7.555955,2,11
梗图,1.708351,5.504777,1.331347,3,5
鱼,5.434887,2.300854,3.066839,2,1
空调,1.134637,4.444391,1.684163,2,5
迪迦奥特曼,2.959712,1.524335,1.501534,5,2
Vtuber,1.751213,0.4475303,3.244931,2,17
