NodeID,PositionX,PositionY,PositionZ,Size,Group
音乐,3.042404,7.079176,7.760653,112,16
吉他,2.914156,7.034795,7.480039,4,16
BALENCIAGA,1.095776,6.170673,6.296208,2,6
房子,7.820571,7.737092,1.249038,3,9
翻跳,0.03233448,3.881512,2.761134,3,13
热血,3.816828,2.244698,2.063199,7,2
黑胶试听,3.340554,6.689896,7.574803,2,16
混剪,6.967015,4.0474,2.361325,13,3
软件应用,6.690033,7.371235,7.254503,20,11
混剪,6.967015,4.0474,2.361325,13,3
影视剪辑,0.5019335,4.403685,4.561496,25,4
T台,1.325472,6.588516,6.787415,3,6
潮流,0.9429268,6.562827,7.083139,2,6
吉他,2.914156,7.034795,7.480039,4,16
哈基米,1.822178,0.9560411,3.27529,5,17
