NodeID,PositionX,PositionY,PositionZ,Size,Group
自驾游,3.074021,5.18106,5.21228,5,7
华语MV,3.325432,6.710808,7.835964,3,16
张雪峰,1.163783,3.399793,2.229205,2,10
音乐教学,2.674434,6.965044,7.441671,7,16
记录我的校园时光,1.332585,3.910177,2.478779,2,10
古典舞,0.3468421,4.446648,2.444128,9,13
喜剧片,0.2100322,4.06607,3.746338,2,4
工具,7.238285,7.869424,0.238204,2,9
柬埔寨,6.847802,7.183071,0.3662883,2,9
吃播,3.650686,2.514224,5.494407,3,12
经济,2.46351,6.771994,1.424901,4,14
北京,7.569961,7.447875,0.6796576,5,9
高音,3.448352,7.148601,7.919543,2,16
土味,1.460957,5.874795,1.820628,2,5
少儿,6.466208,7.745939,1.248661,2,9
田园猫,5.355057,1.650237,4.08945,6,1
养殖,6.427169,6.785361,1.261201,2,9
乡村,6.743774,7.09396,1.012546,9,9
舞蹈综合,0.6223729,4.020427,2.53256,14,13
社会观察局,1.575823,2.657296,2.458516,4,10
赶海,6.675447,6.96331,0.6424924,4,9
哈基米,1.822178,0.9560411,3.27529,5,17
计算机,7.246334,6.853568,7.448977,3,11
资讯,2.624328,6.198732,1.320143,102,14
难度,1.186318,3.998644,2.573515,2,10
Cosplay,0.2474144,7.235799,6.684925,23,6
凤凰传奇,3.445701,6.865721,7.845775,3,16
关羽,0.3078384,3.886496,4.727459,2,4
西瓜,3.731572,3.245768,5.800255,3,12
黑科技,6.887136,7.285096,7.263294,8,11
装备,7.361713,7.713395,0.2060994,2,9
