NodeID,PositionX,PositionY,PositionZ,Size,Group
单机游戏,4.420311,6.739937,7.139832,21,8
台词,7.892703,4.630041,2.822304,2,3
好莱坞,0.2007582,4.00839,3.989493,5,4
梅西,2.270063,2.728781,3.642243,5,15
犯罪,1.758636,2.734293,2.534666,5,10
公务员,1.729308,3.946698,2.153261,3,10
斗地主,4.503487,6.563033,8.129859,2,8
手机游戏,5.318931,6.823978,7.252114,14,8
狼人杀,3.306827,3.128548,2.342402,2,2
Vtuber,1.751213,0.4475303,3.244931,2,17
工资,1.320503,2.634116,2.46734,2,10
佐助,3.979971,1.946086,2.040764,2,2
娱乐圈,8.01403,3.604934,2.322372,2,3
绝区零,0.2869847,6.973773,6.429334,7,6
香缇莫,7.045918,4.629265,1.558012,2,3
格蕾修,2.536442,2.435023,2.368074,2,2
吃喝玩乐,6.362968,7.895421,0.7570696,2,9
发型,0.7551298,7.333858,6.813534,8,6
领克,3.549012,3.755306,5.359118,2,7
狼人杀,3.306827,3.128548,2.342402,2,2
新疆,5.948619,2.584556,3.129375,3,1
直升机,3.007448,6.581292,2.146891,2,14
Arabian Adventure,4.665366,2.144024,3.432262,2,1
环球,3.015155,6.152175,1.246441,25,14
赛马娘,1.858596,0.803424,3.247552,4,17
后期,2.314279,2.806379,1.412524,3,10
歌手,2.877162,6.879306,7.681018,5,16
户晨风,6.495263,3.426718,2.291934,2,3
治愈,3.265408,2.114419,1.35247,7,2
校园,0.9224705,4.96602,1.136169,28,5
健身整花活儿,2.532617,2.985184,2.120399,2,15
