NodeID,PositionX,PositionY,PositionZ,Size,Group
游戏,4.684269,6.775804,7.396548,111,8
iPhone,6.60219,7.378374,6.536509,5,11
音乐,3.042404,7.079176,7.760653,112,16
汽车,3.315197,4.427183,5.105568,104,7
影视,0.1477439,4.509906,4.169803,101,4
吃货,3.643424,2.735321,5.943775,16,12
音乐综合,3.1548,7.044869,7.606017,17,16
欧美音乐,3.204699,6.946772,7.823332,12,16
Apple,6.660556,7.044627,6.317079,4,11
Phigros,4.775377,5.946938,7.094633,4,8
Mugen,4.61493,7.130699,6.898191,12,8
短片,-0.4080311,4.653194,4.121342,18,4
影视整活,0.3724973,4.08681,4.293344,13,4
奔驰,3.259475,4.052171,4.776441,5,7
汽车文化,3.525108,4.300514,4.975168,9,7
教程,6.990493,6.949428,7.492151,18,11
F1,4.075964,4.724651,4.693624,9,7
鱿鱼,3.390282,3.001792,5.57426,2,12
美味,3.481842,2.843632,6.190961,6,12
汽车知识科普,3.565299,4.069957,4.94468,12,7
单机游戏,4.420311,6.739937,7.139832,21,8
桌游棋牌,4.8604,6.619379,8.208125,13,8
MC,4.047708,6.361812,6.949175,4,8
我的世界,4.115067,6.357489,7.256095,5,8
搞笑,0.9365838,5.21099,1.427999,227,5
环球,3.015155,6.152175,1.246441,25,14
日本,2.709358,5.695516,1.171693,11,14
运动,2.220417,2.994999,2.969162,104,15
训练,1.87573,3.029132,2.76206,10,15
艺术,1.932898,3.308583,2.021989,10,10
