NodeID,PositionX,PositionY,PositionZ,Size,Group
F1,4.075964,4.724651,4.693624,9,7
片头,3.993294,4.723498,4.496005,2,7
美食侦探,3.439987,2.245887,5.868577,28,12
街头美食,3.624508,2.382387,5.959377,13,12
广州,3.853908,2.260521,5.551251,5,12
测评,3.951417,2.239705,6.313056,7,12
粽子,3.285825,3.485977,6.126109,3,12
牛肉,2.83811,2.470721,5.914279,2,12
四川,3.049161,1.765436,5.579538,2,12
广州美食,3.705161,1.99642,5.449577,2,12
街头小吃,3.445149,1.9783,5.945883,3,12
安和桥,3.584862,1.911899,6.230241,2,12
法国,4.041915,1.908643,6.111178,2,12
美食制作,2.940606,2.932808,6.112152,29,12
厨艺,3.06487,2.819626,5.85034,9,12
家常菜,2.851398,2.818349,6.176282,10,12
美食教程,2.951614,2.914511,6.256162,12,12
西班牙,3.569939,2.822616,5.551068,5,12
美食记录,3.463825,2.837101,5.976493,24,12
吃货,3.643424,2.735321,5.943775,16,12
全程高能,1.337791,5.18524,1.554604,12,5
搞笑视频,1.236666,4.964913,1.653784,11,5
名场面,1.019744,5.032621,1.781064,30,5
人类迷惑行为,1.440257,5.071283,1.880064,4,5
搞笑时刻,0.5705521,4.919749,2.207654,2,5
俄罗斯,2.676067,5.92199,1.370557,6,14
海外,2.733568,6.000211,1.679764,4,14
孩子,2.27346,6.57425,2.017858,5,14
投篮,2.322078,6.855317,2.102137,2,14
英国,2.787813,6.384159,1.586759,7,14
英国首相,2.894326,6.312234,1.845909,2,14
