NodeID,PositionX,PositionY,PositionZ,Size,Group
上海,1.497968,4.525091,1.540425,4,5
全程高能,1.337791,5.18524,1.554604,12,5
欢乐,1.51539,5.291825,1.922081,3,5
广东,0.6606441,4.540445,2.001539,4,5
财经,2.152637,3.590419,1.518209,12,10
金融,2.090357,3.553489,1.411182,7,10
喜剧,0.5654914,4.478057,3.695339,5,4
预告·资讯,0.2310662,4.391179,3.688693,12,4
剧情片,0.3568795,4.143861,3.829483,2,4
好莱坞,0.2007582,4.00839,3.989493,5,4
影视剪辑,0.5019335,4.403685,4.561496,25,4
创意,-0.1495512,4.907726,4.135471,10,4
综艺,7.194952,4.270652,1.913006,20,3
韩国,7.719535,3.813567,2.75024,8,3
明星综合,7.286793,3.5456,2.498752,14,3
计算机技术,7.109533,7.240095,7.523908,14,11
单机游戏,4.420311,6.739937,7.139832,21,8
游戏音乐,5.010066,6.558382,6.979306,4,8
爵士,2.912664,7.209897,7.994195,3,16
COVER,3.258822,7.178247,8.164168,4,16
MV,3.193778,7.104312,7.91779,11,16
演奏,2.842663,7.118498,7.374807,8,16
JYP,3.418714,7.198634,7.457199,3,16
现场,3.309587,7.095161,7.578503,16,16
舞台,3.53737,7.201787,7.557795,4,16
发型,0.7551298,7.333858,6.813534,8,6
仿妆cos,0.3081727,7.197996,6.599009,26,6
日常,0.7645651,7.053901,6.924835,46,6
美妆,0.6337661,7.183822,7.031935,22,6
护肤,0.8422672,7.018175,7.262582,7,6
美妆护肤,0.8839321,7.285884,7.338517,24,6
